Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
133,"Young Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
133,"Young Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
133,"Young Children 100","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
134,"Young Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"total_pov_change",0,"change in","total","pov","100","Young Children"
134,"Young Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"child_pov_change",0,"change in","child","pov","100","Young Children"
134,"Young Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
134,"Young Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
134,"Young Children 100","031",145270.88316427977,32619.544246425525,9982.382059260528,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
135,"Young Children 100","032",156224.75947178405,34893.134200191911,9381.8869534363148,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
135,"Young Children 100","032",156224.75947178405,34893.134200191911,9381.8869534363148,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
137,"Young Children 100","025",126097.64789268172,26867.999196267705,6875.9303363584777,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
137,"Young Children 100","025",126097.64789268172,26867.999196267705,6875.9303363584777,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
138,"Young Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"total_pov_change",0,"change in","total","pov","100","Young Children"
138,"Young Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"child_pov_change",0,"change in","child","pov","100","Young Children"
138,"Young Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
138,"Young Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
138,"Young Children 100","026",127742.05797427213,24824.052780939528,6997.0551868390212,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
140,"Young Children 100","002",133897.03637100285,29704.885786162435,7834.5647270281042,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
140,"Young Children 100","002",133897.03637100285,29704.885786162435,7834.5647270281042,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
142,"Young Children 100","043",111884.09461572432,21848.458460065282,6911.1266498892,"total_pov_change",0,"change in","total","pov","100","Young Children"
142,"Young Children 100","043",111884.09461572432,21848.458460065282,6911.1266498892,"child_pov_change",0,"change in","child","pov","100","Young Children"
142,"Young Children 100","043",111884.09461572432,21848.458460065282,6911.1266498892,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
142,"Young Children 100","043",111884.09461572432,21848.458460065282,6911.1266498892,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
142,"Young Children 100","043",111884.09461572432,21848.458460065282,6911.1266498892,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
143,"Young Children 100","030",133756.55459118503,28419.482580628835,8782.2842459048043,"total_pov_change",0,"change in","total","pov","100","Young Children"
