district,population,child_population,young_child_population,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,reform_target,monthly_benefit
"003",140518.83013425834,30562.05982737942,8474.6194131600951,0,0,0,0,0,0,11.005673178728506,13.211030239492704,14.637796378131599,11.005673178728506,13.211030239492704,14.637796378131599,3.1819954540972035,2.9769987708947934,2.2004414161734931,3.1819954540972035,2.9769987708947934,2.2004414161734931,"Young Children",100
"012",130908.08116763597,30119.172576573583,8139.57585812543,-2.1,-5.4,-16.7,0,0,0,9.1257857591195091,9.1248571138099521,10.981960187886273,8.9313065664153335,8.6298631079968047,9.150315622454432,3.3265795596886574,1.126651147198068,0.70400584558053259,3.3265795596886574,1.126651147198068,0.70400584558053259,"Young Children",100
"001",114170.96362899712,21238.114213837565,5578.4352729718958,-8,-19.1,-50.2,0,0,0,11.085355658600969,11.005014709458207,15.924933955160636,10.202324489012398,8.906180864082291,7.9342930777924856,4.1372116721471386,4.2089366598234514,1.3969078277108646,4.1372116721471386,4.2089366598234514,1.3969078277108646,"Young Children",100
"013",148745.83789038018,36389.271209665174,9943.9343175790709,0,0,0,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,7.999514445240397,7.1005563944325791,7.0922525753697538,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"Young Children",100
"031",145270.88316427977,32619.544246425525,9982.382059260528,0,0,0,0,0,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.7182298365880118,3.0199825126899955,2.142120895711948,"Young Children",100
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-6.8,-15.4,-50.4,0,0,0,5.891799154951797,6.29867092492698,5.2778520872698218,5.4883197732219129,5.3312535193457533,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.9281879041347354,1.3773803954014243,1.1010545228861544,"Young Children",100
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-10,-19,-41.2,0,0,0,14.216235814700642,21.174346203795835,17.791281268899837,12.801255954137128,17.147941757990758,10.455874030994959,2.839671105752708,1.2118178733982772,0.4468805002240771,2.839671105752708,1.2118178733982772,0.4468805002240771,"Young Children",100
"026",127742.05797427213,24824.052780939528,6997.0551868390212,0,0,0,0,0,0,12.882211555112386,9.74373592487523,10.270612788800946,12.882211555112386,9.74373592487523,10.270612788800946,4.0538744043317791,1.6612041248760372,0.91902216804251624,4.0538744043317791,1.6612041248760372,0.91902216804251624,"Young Children",100
"002",133897.03637100285,29704.885786162435,7834.5647270281042,-4.4,-9.2,-52.2,0,0,0,9.3801498250290543,9.82243267238828,6.5305206463195677,8.966522444209545,8.9227582124889029,3.1193895870736079,3.2013446172633628,3.2287659070730985,1.570915619389587,3.2013446172633628,3.2287659070730985,1.570915619389587,"Young Children",100
"043",111884.09461572432,21848.458460065282,6911.1266498892,0,0,0,0,0,0,19.912568525246208,23.374795922664742,23.205487671701462,19.912568525246208,23.374795922664742,23.205487671701462,7.0023286173134762,6.695144453603576,7.8075278228018448,7.0023286173134762,6.695144453603576,7.8075278228018448,"Young Children",100
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-4.6,-10.7,-36.6,0,0,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,4.6243680275448087,4.4228198155023906,2.6401365322416455,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3956536649095244,0.48693791440321038,0.18980167044652874,"Young Children",100
"028",153445.79015279879,36302.886635973045,8134.7281513871967,0,0,0,0,0,0,9.0709259748160562,11.212459366357768,8.5417343293277028,9.0709259748160562,11.212459366357768,8.5417343293277028,2.436896658593418,1.5186065693076511,1.5914257875933744,2.436896658593418,1.5186065693076511,1.5914257875933744,"Young Children",100
"036",137998.50638469058,27920.790532813553,6638.5901737524446,0,0,0,0,0,0,8.9837264200723581,7.0380245477462893,4.8160161549134353,8.9837264200723581,7.0380245477462893,4.8160161549134353,2.685236008596517,1.8274590320004231,0.36478072265690825,2.685236008596517,1.8274590320004231,0.36478072265690825,"Young Children",200
"023",133548.15767913003,27862.335125054648,6988.339586682655,-4.4,-6.1,-29.7,0,0,0,8.2820664742906782,13.204033501749022,9.534591348313306,7.9181996655101869,12.400243522198179,6.70654642414648,2.0635405268522296,0.6254186364870884,0.53736600714453819,2.0635405268522296,0.6254186364870884,0.53736600714453819,"Young Children",200
"024",130034.15953075975,28421.306083763156,7178.4315357458217,-12.9,-22.3,-51.2,0,0,0,15.421856382161264,24.753127311831371,20.257891274874531,13.42502310687399,19.23349772196234,9.8814363271482062,2.8229976883308789,1.166093394702183,0.49511537284245583,2.8229976883308789,1.166093394702183,0.49511537284245583,"Young Children",200
"045",117771.95295508276,24269.640233569524,7359.3565844502846,0,0,0,0,0,0,21.449398714101395,27.139301292682845,18.858675270130302,21.449398714101395,27.139301292682845,18.858675270130302,7.8874847790625964,7.872543029387832,3.5990688801692934,7.8874847790625964,7.872543029387832,3.5990688801692934,"Young Children",200
"035",138772.6739831373,29334.717660360671,7224.587102113348,0,0,0,0,0,0,8.2136582500046789,5.41606447192078,6.98026998640133,8.2136582500046789,5.41606447192078,6.98026998640133,3.3781786526411208,2.5094309272937014,3.1039502656549067,3.3781786526411208,2.5094309272937014,3.1039502656549067,"Young Children",200
"003",140518.83013425834,30562.05982737942,8474.6194131600951,-6.7,-7.7,-25,0,0,0,11.005673178728506,13.211030239492704,14.637796378131599,10.271676993927644,12.195711251552858,10.976246739087554,3.1819954540972035,2.9769987708947934,2.2004414161734931,3.1819954540972035,2.9769987708947934,2.2004414161734931,"Young Children",200
"012",130908.08116763597,30119.172576573583,8139.57585812543,-7,-21.4,-57.8,0,0,0,9.1257857591195091,9.1248571138099521,10.981960187886273,8.485977043063512,7.1744585579261209,4.635011817430879,3.3265795596886574,1.126651147198068,0.70400584558053259,3.3265795596886574,1.126651147198068,0.70400584558053259,"Young Children",200
"001",114170.96362899712,21238.114213837565,5578.4352729718958,-14.1,-28.4,-73.6,0,0,0,11.085355658600969,11.005014709458207,15.924933955160636,9.5189617225755327,7.8793998498954538,4.2071983827763617,4.1372116721471386,4.2089366598234514,1.3969078277108646,4.1372116721471386,4.2089366598234514,1.3969078277108646,"Young Children",200
"013",148745.83789038018,36389.271209665174,9943.9343175790709,-1.6,-3.5,-13,0,0,0,7.999514445240397,7.1005563944325791,7.0922525753697538,7.870511616502367,6.8487585883529141,6.1708125936883054,2.7692324216020423,1.2426638935041578,2.5372985002822497,2.7692324216020423,1.2426638935041578,2.5372985002822497,"Young Children",200
"031",145270.88316427977,32619.544246425525,9982.382059260528,0,0,0,0,0,0,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,2.7182298365880118,3.0199825126899955,2.142120895711948,2.7182298365880118,3.0199825126899955,2.142120895711948,"Young Children",200
"032",156224.75947178405,34893.134200191911,9381.8869534363148,-6.8,-15.4,-50.4,0,0,0,5.891799154951797,6.29867092492698,5.2778520872698218,5.4883197732219129,5.3312535193457533,2.6171796725357011,1.9281879041347354,1.3773803954014243,1.1010545228861544,1.9281879041347354,1.3773803954014243,1.1010545228861544,"Young Children",200
"025",126097.64789268172,26867.999196267705,6875.9303363584777,-11.2,-20.6,-46.2,0,0,0,14.216235814700642,21.174346203795835,17.791281268899837,12.620520784234357,16.803508413071196,9.5653110641278936,2.839671105752708,1.2118178733982772,0.4468805002240771,2.839671105752708,1.2118178733982772,0.4468805002240771,"Young Children",200
"026",127742.05797427213,24824.052780939528,6997.0551868390212,-3,-8.3,-18.6,0,0,0,12.882211555112386,9.74373592487523,10.270612788800946,12.493386073376982,8.9312669240264952,8.3633094455726233,4.0538744043317791,1.6612041248760372,0.91902216804251624,4.0538744043317791,1.6612041248760372,0.91902216804251624,"Young Children",200
"002",133897.03637100285,29704.885786162435,7834.5647270281042,-6,-14.2,-66.3,0,0,0,9.3801498250290543,9.82243267238828,6.5305206463195677,8.81879837963115,8.4314886060964778,2.1992818671454217,3.2013446172633628,3.2287659070730985,1.570915619389587,3.2013446172633628,3.2287659070730985,1.570915619389587,"Young Children",200
"043",111884.09461572432,21848.458460065282,6911.1266498892,0,0,0,0,0,0,19.912568525246208,23.374795922664742,23.205487671701462,19.912568525246208,23.374795922664742,23.205487671701462,7.0023286173134762,6.695144453603576,7.8075278228018448,7.0023286173134762,6.695144453603576,7.8075278228018448,"Young Children",200
"033",145629.0160642016,33012.007005937645,8479.4744565959336,-4.6,-10.7,-36.6,0,0,0,4.8481123400411335,4.9513997312771627,4.1618797496813587,4.6243680275448087,4.4228198155023906,2.6401365322416455,1.3956536649095244,0.48693791440321038,0.18980167044652874,1.3956536649095244,0.48693791440321038,0.18980167044652874,"Young Children",200
"028",153445.79015279879,36302.886635973045,8134.7281513871967,0,0,0,0,0,0,9.0709259748160562,11.212459366357768,8.5417343293277028,9.0709259748160562,11.212459366357768,8.5417343293277028,2.436896658593418,1.5186065693076511,1.5914257875933744,2.436896658593418,1.5186065693076511,1.5914257875933744,"Young Children",200
"Maryland",6319406.0000000009,1390540,376011,-9.8,-20.7,-20.1,-7.4,-19.1,-23.7,12.544612579093666,14.826470292116731,15.847940618758493,11.30981297925786,11.7528442187927,12.65601272303204,4.1024900125106694,3.8308858429099488,3.5501620963216505,3.7996767417697161,3.0993714671997927,2.7100271002710028,"All Children",100
"037",131847.5727120465,26621.154768906068,6302.7775331241928,-4.6,-13.5,-15,-6.9,-20.9,-40.8,9.8853054098379562,8.9523501182632437,6.4968653057832517,9.4322064263405849,7.7442194055115667,5.5245666104428635,3.7962840579996397,3.6669159130506919,2.2207048711694357,3.535235956602111,2.9006346534999077,1.3150019768797585,"All Children",100
"ZZZ",0,0,0,,,,,,,,,,,,,,,,,,,"All Children",100
