,reform,district,total_pov_change,child_pov_change,young_child_pov_change,baby_pov_change,population,child_population,young_child_population,baby_population,total_pov_rate,child_pov_rate,young_child_pov_rate,baby_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,new_baby_pov_rate
17,All Children,26,-4.9,-17.1,-11.1,0.0,125673.0,32431.0,9343.0,1824.0,0.13649709961566925,0.13080077703431903,0.1092796746227122,0.022478070175438597,0.1298687864537331,0.10838395362461842,0.0971850583324414,0.022478070175438597
18,All Children,11,-8.5,-28.9,-38.4,0.0,131491.0,27542.0,8333.0,2501.0,0.1361233848704474,0.19192505990850336,0.2247689907596304,0.25469812075169934,0.12448760751686427,0.13637353859559945,0.13848553942157688,0.25469812075169934
19,All Children,35,-5.7,-19.3,-28.4,-47.5,128817.0,29743.0,6931.0,1424.0,0.1184315734724454,0.09508119557542952,0.11715481171548117,0.15379213483146068,0.11173214715449048,0.07672393504353965,0.0838262876929736,0.08075842696629214
20,All Children,41,-5.3,-12.3,-21.9,0.0,129111.0,27402.0,6457.0,879.0,0.13072472523642448,0.14404058097949055,0.16787982035000773,0.09783845278725825,0.12377721495457397,0.12626815560907964,0.131175468483816,0.09783845278725825
21,All Children,19,-10.6,-27.7,0.0,,131020.0,29989.0,7746.0,1114.0,0.1352999542054648,0.15155557037580447,0.08675445391169635,0.0,0.12099679438253702,0.10960685584714396,0.08675445391169635,0.0
22,All Children,34,-10.1,-32.7,-85.9,,127822.0,27536.0,6461.0,1359.0,0.12073821407895355,0.1048445671121441,0.039622349481504414,0.0,0.10857285913223076,0.07056217315514236,0.005571892895836558,0.0
23,All Children,37,-6.2,-10.8,0.0,0.0,122349.0,28596.0,7726.0,1863.0,0.12739785368086376,0.15928801230941392,0.14380015531969972,0.166935050993022,0.11950240704868859,0.1421527486361729,0.14380015531969972,0.166935050993022
24,All Children,30,-5.2,-16.6,-35.7,,123044.0,23675.0,7353.0,1827.0,0.10163843828224049,0.0824920802534319,0.06024751801985584,0.0,0.09632326647378174,0.06880675818373812,0.03875968992248062,0.0
25,All Children,46,-8.2,-12.0,-8.7,-22.2,137200.0,34818.0,9471.0,2285.0,0.1326530612244898,0.1216899304957206,0.16017316017316016,0.2603938730853392,0.12175655976676385,0.10712849675455224,0.146235877943195,0.20262582056892778
26,All Children,39,-8.5,-15.3,-20.6,-48.9,126598.0,28388.0,8763.0,2426.0,0.14149512630531288,0.19356770466394252,0.19936094944653657,0.17518549051937346,0.1294412234000537,0.16387205861631676,0.1582791281524592,0.08944765045342128
27,All Children,47,-5.8,-6.6,0.0,,120836.0,28092.0,7350.0,638.0,0.12226488794730048,0.15068346860316104,0.10108843537414966,0.0,0.1151974577112781,0.14075181546347715,0.10108843537414966,0.0
28,All Children,27,-10.9,-14.4,0.0,,127184.0,31363.0,9208.0,1178.0,0.12672191470625235,0.15106973184963174,0.06657254561251086,0.0,0.11297018492892187,0.12935624780792654,0.06657254561251086,0.0
29,All Children,17,-11.2,-31.9,0.0,0.0,110063.0,23709.0,5696.0,935.0,0.12034925451786704,0.11877346155468388,0.042837078651685394,0.12299465240641712,0.10687515332127963,0.08089754945379392,0.042837078651685394,0.12299465240641712
30,All Children,44,-11.0,-19.3,-25.0,0.0,131958.0,28872.0,6196.0,1646.0,0.12159171857712302,0.14325297866445,0.2275661717236927,0.2290400972053463,0.10819351611876506,0.1156137434192297,0.17075532601678503,0.2290400972053463
31,All Children,5,-14.0,-19.7,-26.7,-45.6,135216.0,30235.0,9164.0,1607.0,0.12003017394391197,0.12578137919629567,0.15899170667830642,0.28126944617299315,0.10316826411075612,0.10097569042500414,0.116542994325622,0.15308027380211575
32,All Children,33,-9.1,-17.2,0.0,0.0,129976.0,30030.0,7633.0,1162.0,0.13397858066104512,0.19507159507159508,0.1447661469933185,0.2848537005163511,0.12183787776204838,0.1615051615051615,0.1447661469933185,0.2848537005163511
33,All Children,13,-10.9,-9.2,-20.0,-47.3,128915.0,31662.0,7928.0,1467.0,0.12502811930341698,0.17522582275282672,0.24646821392532794,0.2883435582822086,0.11136795562967847,0.159086602236119,0.19727547931382441,0.1520109066121336
34,All Children,3,-7.1,-17.0,0.0,0.0,122220.0,26842.0,5907.0,1172.0,0.11453935526100474,0.11344162133969153,0.09378703233451836,0.31313993174061433,0.10643102601865488,0.09418076149318233,0.09378703233451836,0.31313993174061433
35,All Children,8,-16.6,-46.0,-58.3,0.0,127160.0,26361.0,6719.0,1110.0,0.11674268637936458,0.12070862258639657,0.2192290519422533,0.36396396396396397,0.09738911607423718,0.06520996927278935,0.09138264622711713,0.36396396396396397
