,reform,county_fip,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate,total_deep_poor,new_total_deep_poor
20,All Children 100,17,-9.0,-15.1,0.0,0.0,0.0,0.0,174238.0,41222.0,9237.0,0.09070925974816056,0.1121245936635777,0.08541734329327703,0.08251357338812429,0.09519188782688856,0.08541734329327703,0.024368966585934182,0.015186065693076513,0.015914257875933743,0.024368966585934182,0.015186065693076513,0.015914257875933743,4246.0,4246.0
21,All Children 100,39,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,25728.571261935314,5353.79512644904,1342.5217932267974,0.12386824418152528,0.12257754524584913,0.09846710666382798,0.11632505693495525,0.09972772409374833,0.07515435384287843,0.06859412320168859,0.0723399711707864,0.047583563977006596,0.061761928567460975,0.052880251988681855,0.025867575047902915,1764.8287869446156,1589.046180422478
22,All Children 100,45,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,102537.29132992285,21336.732810095928,5350.415568256931,0.12386824418152531,0.12257754524584913,0.098467106663828,0.11632505693495529,0.09972772409374835,0.07515435384287844,0.06859412320168862,0.0723399711707864,0.0475835639770066,0.06176192856746099,0.05288025198868187,0.02586757504790292,7033.455594252166,6332.900862619632
23,All Children 100,47,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,51764.13740814183,10771.472063455032,2701.0626385162723,0.12386824418152532,0.12257754524584914,0.09846710666382798,0.11632505693495532,0.09972772409374833,0.07515435384287843,0.06859412320168862,0.0723399711707864,0.04758356397700659,0.06176192856746099,0.05288025198868187,0.025867575047902915,3550.7156188032195,3197.052956957891
24,All Children 100,15,-5.8,-18.2,0.0,0.0,0.0,0.0,108229.0,23069.0,6038.0,0.10631161703425145,0.0759027266028003,0.06293474660483604,0.10019495698934666,0.0621179938445533,0.06293474660483604,0.04684511544964843,0.029606831678876414,0.0028155018217952965,0.04684511544964843,0.029606831678876414,0.0028155018217952965,5070.0,5070.0
25,All Children 200,Maryland,-16.5,-34.8,-32.1,-15.7,-45.0,-46.7,6319406.0,1390540.0,376011.0,0.12544612579093667,0.1482647029211673,0.15847940618758494,0.10478817154650295,0.09665957110187409,0.10758993752842337,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.03457714221874651,0.021065197692982582,0.01891699976862379,259253.0,218507.0
26,All Children 200,11,-9.5,-24.8,0.0,0.0,0.0,0.0,34804.32229101806,6894.312502186309,1569.5779783351406,0.08338500376455998,0.06805287722534306,0.041001718634912844,0.07549603613977589,0.05114446214471367,0.041001718634912844,0.019022100181584657,0.013498784270981806,0.004051068008838693,0.019022100181584657,0.013498784270981806,0.004051068008838693,662.0513053719056,662.0513053719056
27,All Children 200,19,-9.5,-24.8,0.0,0.0,0.0,0.0,33844.93660288476,6704.269877916535,1526.312356432411,0.08338500376455998,0.06805287722534306,0.04100171863491284,0.07549603613977592,0.05114446214471368,0.04100171863491284,0.01902210018158466,0.013498784270981804,0.004051068008838694,0.01902210018158466,0.013498784270981804,0.004051068008838694,643.8017746994554,643.8017746994554
28,All Children 200,29,-9.5,-24.8,0.0,0.0,0.0,0.0,20573.61010249414,4075.3816769860427,927.8125021863084,0.08338500376455998,0.06805287722534305,0.041001718634912844,0.0754960361397759,0.05114446214471367,0.041001718634912844,0.019022100181584657,0.013498784270981804,0.004051068008838694,0.019022100181584657,0.013498784270981804,0.004051068008838694,391.35327246650576,391.35327246650576
29,All Children 200,35,-9.5,-24.8,0.0,0.0,0.0,0.0,52268.09053066079,10353.672368559135,2357.1452758246755,0.08338500376456,0.06805287722534306,0.04100171863491284,0.0754960361397759,0.05114446214471367,0.04100171863491284,0.019022100181584657,0.013498784270981808,0.004051068008838693,0.019022100181584657,0.013498784270981808,0.004051068008838693,994.2488543743659,994.2488543743659
30,All Children 200,41,-9.5,-24.8,0.0,0.0,0.0,0.0,39141.04047294225,7753.363574351979,1765.1518872214642,0.08338500376455997,0.06805287722534306,0.04100171863491285,0.0754960361397759,0.051144462144713666,0.04100171863491285,0.019022100181584657,0.013498784270981806,0.004051068008838694,0.019022100181584657,0.013498784270981806,0.004051068008838694,744.5447930877672,744.5447930877672
31,All Children 200,33,-27.5,-55.3,-43.9,-6.2,-22.5,-16.0,939674.0,210461.0,62964.0,0.14797578734752692,0.2011156461292116,0.19444444444444445,0.10731700568495031,0.08986463050161313,0.1089987929610571,0.03690428808288832,0.026950361349608716,0.03131948414967283,0.03460987533974549,0.020887480340775727,0.026316625373229145,34678.0,32522.0
32,All Children 200,13,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,178564.0,37240.0,8930.0,0.06907327344817545,0.07655746509129968,0.06304591265397537,0.05945767343921507,0.05182599355531686,0.03236282194848824,0.021387289711251988,0.02156283566058002,0.011422172452407614,0.01971842028628391,0.016245972073039742,0.00593505039193729,3819.0,3521.0
33,All Children 200,510,-10.0,-25.5,-14.9,-12.8,-35.2,-35.0,595705.0,122089.0,37354.0,0.25001804584483933,0.32960381361138186,0.2792739733361889,0.22494691164250763,0.2454357067385268,0.2377523156823901,0.08978437313771077,0.10052502682469346,0.07238849922364406,0.07825853400592575,0.0651819574245018,0.04703646195855866,53485.0,46619.0
34,All Children 200,25,-7.1,-15.4,-18.5,-38.0,-73.9,-74.6,272165.0,59029.0,15126.0,0.0874322561681333,0.09136187297768893,0.179624487637181,0.08119706795510076,0.07728404682444222,0.1463043765701441,0.03955321220583102,0.05719222754917075,0.11966150998281105,0.02451821505336836,0.014941808263734774,0.030411212481819383,10765.0,6673.0
